epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.2303,2.86335,7.62414,21.7359,2.63236,0.00322,0.13333,0.00463,0.00078,0,0,0,0,3.47591,7.72702,26.749,3.55119,1e-05,1e-05,1e-05
2,4.75205,2.45302,8.00873,12.1728,2.45613,0.00325,0.13333,0.00425,0.00072,0,0,0,0,3.42822,7.88053,26.9181,3.53991,2.9802e-05,2.9802e-05,2.9802e-05
3,6.02498,2.34337,7.56469,13.6708,2.35546,0.00332,0.13333,0.00425,0.00085,0,0,0,0,3.39224,7.98739,26.0122,3.50627,4.934e-05,4.934e-05,4.934e-05
4,7.30032,2.41588,8.13604,13.7221,2.41668,0,0,0,0,0,0,0,0,3.33267,7.91281,29.0139,3.52764,6.8614e-05,6.8614e-05,6.8614e-05
5,8.85611,2.73139,7.4164,8.62249,2.46648,0,0,0,0,0,0,0,0,3.26326,7.44765,46.8276,3.41814,8.7624e-05,8.7624e-05,8.7624e-05
6,10.4203,2.10586,6.19425,5.10276,2.17483,0,0,0,0,0,0,0,0,3.03865,6.91374,255.256,3.18909,0.00010637,0.00010637,0.00010637
7,12.0509,2.4812,5.49381,5.75525,2.48311,0.02944,0.11111,0.02369,0.01351,0.04604,0.07407,0.0232,0.00717,2.89906,6.65716,141.071,3.06252,0.000124852,0.000124852,0.000124852
8,13.6303,2.02809,4.09729,4.43934,2.19417,0.3538,0.15741,0.12462,0.05376,0.05851,0.11111,0.02572,0.00659,2.83619,6.88391,63.4124,3.11176,0.00014307,0.00014307,0.00014307
9,15.1413,2.12418,4.03795,4.26834,2.21208,0.60097,0.08333,0.09748,0.0246,0.34982,0.07407,0.00743,0.00219,2.9209,7.14295,31.8962,3.15595,0.000161024,0.000161024,0.000161024
10,16.5859,1.76649,3.81387,3.59,1.91581,0.01977,0.11111,0.01248,0.0045,0.01649,0.07327,0.0072,0.00181,2.83915,7.67644,15.4299,3.08931,0.000178714,0.000178714,0.000178714
11,18.0213,2.01347,3.555,3.51388,2.13655,0.56346,0.03704,0.05198,0.01586,0.56346,0.03704,0.04499,0.00531,2.83888,7.4646,10.8292,3.08629,0.00019614,0.00019614,0.00019614
12,19.4184,2.32173,3.43051,3.55689,2.18426,0.38225,0.14815,0.06602,0.01661,0.78663,0.03704,0.05103,0.0069,2.9178,7.21496,19.3797,3.2623,0.000213302,0.000213302,0.000213302
13,20.8035,2.17806,3.46941,3.45491,2.11037,0.0685,0.11111,0.04524,0.01075,0.02361,0.11111,0.01252,0.00319,2.72387,7.78924,42.151,3.03772,0.0002302,0.0002302,0.0002302
14,22.2124,1.88572,3.61846,3.13837,1.96728,0.0381,0.07407,0.02343,0.00778,0.03216,0.11111,0.01779,0.00388,2.66769,8.23468,88.9832,2.98402,0.000246834,0.000246834,0.000246834
15,23.5993,1.52473,3.09646,3.09911,1.77685,0.02744,0.07407,0.01852,0.00679,0.0172,0.07407,0.01222,0.00243,2.63427,8.01186,191.818,3.00205,0.000263204,0.000263204,0.000263204
16,25.0121,1.93426,3.22328,3.32936,2.18947,0.03662,0.14815,0.02845,0.01284,0.02213,0.14815,0.0166,0.00527,2.56213,8.00666,303.004,2.96884,0.00027931,0.00027931,0.00027931
17,26.4252,1.68606,3.02401,2.98721,1.91086,0.04897,0.11111,0.03464,0.01426,0.01955,0.14815,0.01637,0.00522,2.64347,8.40661,218.376,3.09875,0.000295152,0.000295152,0.000295152
18,27.8211,1.65183,2.84129,2.7362,1.77759,0.03217,0.11111,0.03228,0.01467,0.02407,0.07407,0.02182,0.00897,2.74933,8.32348,175.344,3.15007,0.00031073,0.00031073,0.00031073
19,29.1844,2.14216,3.22574,3.15749,2.08905,0.04439,0.11111,0.02665,0.00771,0.01491,0.03704,0.00514,0.00208,2.87721,7.87316,39.5005,3.33688,0.000326044,0.000326044,0.000326044
20,30.5698,1.5168,2.94162,2.959,1.78998,0.36296,0.07407,0.01306,0.00428,0.34812,0.03704,0.00303,0.00164,3.10989,8.03306,6.90502,3.42045,0.000341094,0.000341094,0.000341094
21,31.9624,1.62342,2.75067,2.57345,1.77941,0.70972,0.07407,0.02049,0.00702,0.68811,0.03704,0.00597,0.00204,3.06509,8.59736,6.50324,3.39069,0.00035588,0.00035588,0.00035588
22,33.3017,1.47732,2.93912,2.74999,1.71228,0.70341,0.11111,0.02044,0.00999,0.683,0.03704,0.00752,0.00285,3.06359,7.89287,10.3846,3.57697,0.000370402,0.000370402,0.000370402
23,34.6493,1.60595,3.25355,2.97392,1.83986,0.36404,0.11111,0.01963,0.00723,0.34721,0.07407,0.00514,0.00196,3.08713,7.54204,5.71372,3.62461,0.00038466,0.00038466,0.00038466
24,36.004,1.78602,2.49556,2.37301,1.97845,0.04475,0.25185,0.03522,0.00755,0.00309,0.07407,0.00432,0.00171,2.85702,7.71119,5.21836,3.46896,0.000398654,0.000398654,0.000398654
25,37.3924,1.96904,3.20785,3.07315,2.0803,0.0092,0.14815,0.0097,0.0042,0.0046,0.07407,0.00352,0.00158,2.80475,7.70126,11.234,3.33091,0.000412384,0.000412384,0.000412384
26,38.8133,1.72743,3.23932,2.53345,1.93054,0.00907,0.14815,0.00939,0.00491,0.0068,0.11111,0.00793,0.00205,2.77047,7.16457,5.80427,3.38942,0.00042585,0.00042585,0.00042585
27,40.2201,1.74345,2.69889,2.71133,1.97173,0.02698,0.07407,0.01619,0.00796,0.01842,0.07407,0.00835,0.00234,2.93592,7.12131,5.7428,3.76423,0.000439052,0.000439052,0.000439052
28,41.4968,1.64659,2.87818,2.46994,1.91211,0.02698,0.07407,0.01619,0.00796,0.01842,0.07407,0.00835,0.00234,2.93592,7.12131,5.7428,3.76423,0.00045199,0.00045199,0.00045199
29,42.8418,1.86389,2.90023,2.70334,1.89732,0.83151,0.14815,0.11522,0.03182,0.74123,0.07407,0.02759,0.00498,3.19127,7.62443,5.91449,4.26402,0.000464664,0.000464664,0.000464664
30,44.1628,1.53123,3.36029,2.32872,1.85529,0.74244,0.14815,0.1004,0.02516,0.70455,0.07407,0.03521,0.00663,3.24942,8.86893,9.62141,4.67654,0.000477074,0.000477074,0.000477074
31,45.5151,1.53736,2.79304,1.984,1.64691,0.74244,0.14815,0.1004,0.02516,0.70455,0.07407,0.03521,0.00663,3.24942,8.86893,9.62141,4.67654,0.00048922,0.00048922,0.00048922
32,46.8941,1.55275,2.83748,2.19804,1.79097,0.05922,0.17778,0.04209,0.01091,0.03759,0.1037,0.02057,0.0046,3.44739,7.98646,5.93139,4.60496,0.000501102,0.000501102,0.000501102
33,48.2163,1.77912,3.63234,2.35164,1.91722,0.38409,0.07407,0.02682,0.00678,0.01963,0.03704,0.00559,0.00118,3.65572,8.09926,4.89243,4.48185,0.00051272,0.00051272,0.00051272
34,49.5036,1.87619,3.06068,2.35959,1.87437,0.38409,0.07407,0.02682,0.00678,0.01963,0.03704,0.00559,0.00118,3.65572,8.09926,4.89243,4.48185,0.000524074,0.000524074,0.000524074
35,50.8579,1.49125,2.74573,2.25226,1.5387,0.35703,0.07407,0.01129,0.00266,0.00359,0.03704,0.00257,0.00063,3.84047,7.83724,6.81616,4.56994,0.000535164,0.000535164,0.000535164
36,52.3323,1.53447,2.53356,2.11579,1.70358,0.01476,0.03704,0.0054,0.00064,0.00099,0.03704,0.00083,0.00015,4.0052,9.82281,6.78698,4.61341,0.00054599,0.00054599,0.00054599
37,53.6278,1.49792,2.69843,2.10102,1.72585,0.01476,0.03704,0.0054,0.00064,0.00099,0.03704,0.00083,0.00015,4.0052,9.82281,6.78698,4.61341,0.000556552,0.000556552,0.000556552
38,54.9907,1.50572,2.59745,2.10493,1.6469,0.0184,0.03704,0.00692,0.0013,0.00247,0.2537,0.0036,0.00061,3.75398,9.19751,4.77012,4.34123,0.00056685,0.00056685,0.00056685
39,56.3445,1.73748,2.7944,2.17861,1.86622,0.04025,0.17778,0.02811,0.00504,0.08166,0.1037,0.03397,0.00396,3.65555,7.79373,4.89583,4.14903,0.000576884,0.000576884,0.000576884
40,57.674,1.70269,2.86485,2.03196,1.7194,0.04025,0.17778,0.02811,0.00504,0.08166,0.1037,0.03397,0.00396,3.65555,7.79373,4.89583,4.14903,0.000586654,0.000586654,0.000586654
41,59.0112,1.53618,2.63677,2.02976,1.72848,0.02752,0.21481,0.02293,0.00627,0.02368,0.17778,0.01397,0.00369,3.48986,8.94439,5.80758,3.91851,0.00059616,0.00059616,0.00059616
42,60.4116,1.65047,2.32833,2.06467,1.7892,0.72722,0.11111,0.04172,0.00942,0.70315,0.07407,0.01958,0.00692,3.16806,9.13342,5.11675,3.5305,0.000605402,0.000605402,0.000605402
43,61.7358,1.28845,2.57551,1.95122,1.51762,0.72722,0.11111,0.04172,0.00942,0.70315,0.07407,0.01958,0.00692,3.16806,9.13342,5.11675,3.5305,0.00061438,0.00061438,0.00061438
44,63.0327,1.31983,2.31449,1.71112,1.5381,0.36532,0.14815,0.02722,0.00998,0.69414,0.11111,0.01577,0.00524,2.8331,7.97847,4.85607,3.29574,0.000623094,0.000623094,0.000623094
45,64.387,1.85987,3.33047,2.42401,1.92907,0.36532,0.14815,0.02722,0.00998,0.69414,0.11111,0.01577,0.00524,2.8331,7.97847,4.85607,3.29574,0.000631544,0.000631544,0.000631544
46,65.774,1.50627,2.82811,2.02647,1.8725,0.02965,0.1901,0.02956,0.00828,0.7052,0.07407,0.01437,0.00385,2.77187,8.53719,4.24117,3.30003,0.00063973,0.00063973,0.00063973
47,67.1332,1.13062,2.11402,1.63699,1.47959,0.02965,0.1901,0.02956,0.00828,0.7052,0.07407,0.01437,0.00385,2.77187,8.53719,4.24117,3.30003,0.000647652,0.000647652,0.000647652
48,68.5078,1.76862,2.75766,2.2981,1.83883,0.7732,0.03704,0.03273,0.00751,0.0409,0.07407,0.01685,0.00374,2.95283,9.01047,4.6169,3.45723,0.00065531,0.00065531,0.00065531
49,69.996,1.51818,2.55872,1.73568,1.58262,0.7732,0.03704,0.03273,0.00751,0.0409,0.07407,0.01685,0.00374,2.95283,9.01047,4.6169,3.45723,0.000662704,0.000662704,0.000662704
50,71.4256,1.19469,2.61757,1.74892,1.40834,0.40867,0.1037,0.03781,0.00528,0.03202,0.14074,0.0136,0.00286,3.10338,8.86878,4.9917,3.487,0.000669834,0.000669834,0.000669834
51,72.8689,1.5357,2.58833,1.95667,1.69126,0.40867,0.1037,0.03781,0.00528,0.03202,0.14074,0.0136,0.00286,3.10338,8.86878,4.9917,3.487,0.00067,0.00067,0.00067
52,74.3271,1.25046,2.19279,1.46901,1.50616,0.04426,0.11111,0.0185,0.00445,0.02945,0.07407,0.00869,0.00248,3.24241,8.50983,4.55971,3.69409,0.0006634,0.0006634,0.0006634
