epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.7323,2.84013,6.53802,4.67252,2.73829,0.00468,0.37222,0.01234,0.00372,0.00161,0.15741,0.0019,0.00023,3.04526,7.78384,4.59269,3.38778,1e-05,1e-05,1e-05
2,4.35256,2.3295,7.32851,4.04517,2.28357,0.00478,0.40926,0.02241,0.00605,0.00036,0.03704,0.00021,2e-05,3.06629,7.8501,4.54277,3.40157,2.95757e-05,2.95757e-05,2.95757e-05
3,5.14221,2.28316,7.39901,4.24725,2.30257,0.00463,0.40926,0.01683,0.00485,0.0007,0.07407,0.00044,7e-05,3.203,7.80274,4.4459,3.46543,4.85857e-05,4.85857e-05,4.85857e-05
4,5.91755,2.19986,7.73947,4.29765,2.30804,0.00414,0.37222,0.02362,0.00702,0.00065,0.07407,0.00046,0.00011,3.17338,7.95166,4.56624,3.4487,6.703e-05,6.703e-05,6.703e-05
5,6.88369,2.38629,6.39845,4.24014,2.33418,0.00437,0.40926,0.06654,0.01513,0.00128,0.14815,0.00624,0.00093,3.03507,7.50178,4.5317,3.25553,8.49086e-05,8.49086e-05,8.49086e-05
6,8.55269,2.21914,5.85415,3.96335,2.17379,0.00298,0.34259,0.12656,0.02179,0.00133,0.14815,0.01338,0.00273,2.93693,7.0204,4.44316,3.20639,0.000102221,0.000102221,0.000102221
7,9.48151,2.26633,5.81755,4.21686,2.25262,0.00352,0.37963,0.08892,0.02263,0.0028,0.30556,0.02238,0.00406,2.76846,7.10076,4.40121,3.11776,0.000118969,0.000118969,0.000118969
8,10.3158,1.97712,4.38976,4.00362,2.27925,0.00386,0.37963,0.07313,0.0208,0.00206,0.18519,0.02615,0.00983,2.7284,7.26934,4.36089,3.02934,0.00013515,0.00013515,0.00013515
9,11.1799,2.1229,4.29094,3.88988,2.21468,0.00424,0.37963,0.06387,0.02482,0.00183,0.14815,0.04638,0.02139,2.72884,7.24072,4.34152,2.96626,0.000150766,0.000150766,0.000150766
10,12.0729,1.76561,4.15319,3.61247,1.94723,0.00471,0.37963,0.04746,0.017,0.00259,0.18519,0.03162,0.00939,2.78723,6.94014,4.29221,3.0365,0.000165816,0.000165816,0.000165816
11,12.977,2.02572,3.77097,3.57696,2.11538,0.00462,0.34259,0.04806,0.02076,0.00348,0.22222,0.0457,0.00902,2.72831,7.19966,4.33895,2.93844,0.0001803,0.0001803,0.0001803
12,13.7997,2.32599,3.63342,3.80588,2.23209,0.00508,0.34259,0.11022,0.02485,0.00387,0.22222,0.03761,0.00883,2.77836,7.66931,4.3057,2.98826,0.000194219,0.000194219,0.000194219
13,14.7365,2.15278,3.63392,3.57857,2.1737,0.00477,0.25926,0.09644,0.02383,0.00409,0.22222,0.02165,0.00495,2.83044,7.90081,4.14843,3.06927,0.000207571,0.000207571,0.000207571
14,15.5838,1.92791,3.85159,3.51763,2.02231,0.0059,0.2963,0.07292,0.02323,0.00369,0.18519,0.01902,0.00439,2.81723,8.3972,4.15914,3.05491,0.000220359,0.000220359,0.000220359
15,16.443,1.58146,3.13566,3.37261,1.79168,0.00662,0.2963,0.08286,0.02211,0.00414,0.18519,0.01896,0.0043,2.74536,8.66784,3.96708,2.92339,0.00023258,0.00023258,0.00023258
16,17.2889,1.86944,3.38898,3.64783,2.04258,0.00672,0.32593,0.06344,0.01898,0.00531,0.22222,0.02461,0.00631,2.74806,9.02056,3.86015,2.96096,0.000244236,0.000244236,0.000244236
17,18.1565,1.97538,3.05086,3.38618,2.14171,0.00731,0.32593,0.04831,0.01621,0.00634,0.28889,0.02008,0.00505,2.73319,9.54243,3.74707,3.03956,0.000255326,0.000255326,0.000255326
18,19.0041,1.90416,2.96889,3.21356,1.88913,0.00875,0.36296,0.04214,0.01388,0.00565,0.25185,0.01706,0.00499,2.55851,9.26539,3.67796,2.84183,0.00026585,0.00026585,0.00026585
19,20.0342,2.15642,3.45004,3.64702,2.10659,0.0092,0.32593,0.04035,0.01429,0.00548,0.21481,0.01778,0.00514,2.5695,8.99979,3.71853,2.803,0.000275809,0.000275809,0.000275809
20,20.8802,1.68603,3.22633,3.35304,1.96718,0.01042,0.39259,0.02948,0.01046,0.00538,0.14815,0.021,0.00418,2.66015,8.9329,3.75695,2.87105,0.000285201,0.000285201,0.000285201
21,21.7633,1.64798,3.03634,3.2363,1.81131,0.01194,0.39259,0.0324,0.01133,0.0062,0.14815,0.02205,0.00519,2.71398,8.51271,3.75703,2.91429,0.000294029,0.000294029,0.000294029
22,22.5604,1.53877,3.12837,2.98388,1.78516,0.01215,0.35556,0.0294,0.01177,0.00737,0.14815,0.01485,0.00464,2.81307,8.963,3.78783,2.98353,0.00030229,0.00030229,0.00030229
23,23.3675,1.81311,3.29848,3.26356,1.94012,0.01373,0.35556,0.02686,0.01061,0.00629,0.11111,0.01124,0.0026,2.95993,9.4331,3.77748,3.04758,0.000309986,0.000309986,0.000309986
24,24.1867,1.69809,2.88663,2.85166,1.81533,0.01413,0.28889,0.02965,0.00935,0.00901,0.14815,0.00975,0.00191,3.07759,9.93314,3.76015,3.10276,0.000317116,0.000317116,0.000317116
25,24.9883,1.86059,3.15282,3.15605,1.96799,0.01428,0.25185,0.04854,0.01313,0.00546,0.07407,0.00461,0.00132,3.1792,9.77058,3.91461,3.13321,0.00032368,0.00032368,0.00032368
26,25.8776,1.85891,3.3066,2.99328,1.95868,0.01132,0.17778,0.04499,0.0105,0.00358,0.03704,0.00259,0.00026,3.11362,9.44913,3.92609,3.09872,0.000329679,0.000329679,0.000329679
27,26.7269,1.6381,2.72213,3.03713,1.89084,0.02019,0.21481,0.0502,0.01396,0.0049,0.03704,0.00282,0.00028,3.23423,8.63933,3.89686,3.14736,0.000335111,0.000335111,0.000335111
28,27.4804,1.54602,2.92594,2.69173,1.70804,0.02019,0.21481,0.0502,0.01396,0.0049,0.03704,0.00282,0.00028,3.23423,8.63933,3.89686,3.14736,0.000339979,0.000339979,0.000339979
