epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,114.961,0.96635,1.86067,1.39193,1.24691,0.91319,0.03704,0.0626,0.0328,0.0066,0.07407,0.01567,0.00255,2.98428,6.86567,3.39839,3.53112,0.0001684,0.0001684,0.0001684
128,115.797,1.234,1.6097,1.65276,1.6748,0.43826,0.06892,0.05791,0.0333,0.36736,0.03704,0.01555,0.00274,3.08461,6.83775,3.43431,3.56664,0.0001618,0.0001618,0.0001618
129,116.622,1.02755,1.62291,1.25846,1.35167,0.43826,0.06892,0.05791,0.0333,0.36736,0.03704,0.01555,0.00274,3.08461,6.83775,3.43431,3.56664,0.0001552,0.0001552,0.0001552
130,117.574,0.8887,1.73497,1.34335,1.29724,0.4424,0.07237,0.05799,0.03319,0.36785,0.03704,0.01412,0.00284,3.09653,6.84162,3.44203,3.60642,0.0001486,0.0001486,0.0001486
131,118.577,0.95728,1.75393,1.48297,1.31393,0.4424,0.07237,0.05799,0.03319,0.36785,0.03704,0.01412,0.00284,3.09653,6.84162,3.44203,3.60642,0.000142,0.000142,0.000142
132,119.494,0.78337,1.48155,1.25108,1.20516,0.44442,0.07405,0.0573,0.03306,0.36784,0.03704,0.01233,0.00331,3.12272,6.85019,3.42654,3.59432,0.0001354,0.0001354,0.0001354
133,120.309,0.94242,1.7538,1.35703,1.28499,0.44442,0.07405,0.0573,0.03306,0.36784,0.03704,0.01233,0.00331,3.12272,6.85019,3.42654,3.59432,0.0001288,0.0001288,0.0001288
134,121.188,0.80609,1.55389,1.41251,1.22955,0.94835,0.03704,0.0562,0.02788,0.0215,0.03704,0.01068,0.0029,3.10781,6.7563,3.43555,3.57521,0.0001222,0.0001222,0.0001222
135,122.052,0.79275,1.59044,1.17763,1.14318,0.94835,0.03704,0.0562,0.02788,0.0215,0.03704,0.01068,0.0029,3.10781,6.7563,3.43555,3.57521,0.0001156,0.0001156,0.0001156
136,122.927,1.06363,1.51479,1.44343,1.43233,0.93917,0.03704,0.05774,0.02879,0.0229,0.03704,0.01142,0.00302,3.09112,6.73422,3.4107,3.54937,0.000109,0.000109,0.000109
137,123.761,0.93959,1.70355,1.24306,1.15749,0.93917,0.03704,0.05774,0.02879,0.0229,0.03704,0.01142,0.00302,3.09112,6.73422,3.4107,3.54937,0.0001024,0.0001024,0.0001024
138,124.626,1.23765,1.68045,1.54315,1.55503,0.94587,0.03704,0.05646,0.01986,0.02041,0.03704,0.00961,0.00268,3.06834,6.69582,3.39768,3.53179,9.58e-05,9.58e-05,9.58e-05
139,125.464,0.80836,1.34644,1.10488,1.15627,0.94587,0.03704,0.05646,0.01986,0.02041,0.03704,0.00961,0.00268,3.06834,6.69582,3.39768,3.53179,8.92e-05,8.92e-05,8.92e-05
140,126.352,0.89794,1.61499,1.28329,1.22905,0.94955,0.03704,0.05608,0.01904,0.01462,0.03704,0.00764,0.00202,3.0465,6.56029,3.39556,3.48894,8.26e-05,8.26e-05,8.26e-05
141,132.512,0.75512,1.47836,1.3975,1.22809,0.94955,0.03704,0.05608,0.01904,0.01462,0.03704,0.00764,0.00202,3.0465,6.56029,3.39556,3.48894,7.6e-05,7.6e-05,7.6e-05
142,133.766,0.87953,1.96897,1.79911,1.38312,0.94931,0.03704,0.05602,0.01866,0.01883,0.03704,0.00718,0.00203,3.08797,6.55162,3.39626,3.4572,6.94e-05,6.94e-05,6.94e-05
143,134.592,0.71895,1.43478,1.42605,1.20803,0.94931,0.03704,0.05602,0.01866,0.01883,0.03704,0.00718,0.00203,3.08797,6.55162,3.39626,3.4572,6.28e-05,6.28e-05,6.28e-05
144,135.473,0.63697,1.26921,1.33032,1.16392,0.93898,0.03704,0.0558,0.01857,0.01938,0.03704,0.00701,0.00198,3.07851,6.37798,3.41349,3.44503,5.62e-05,5.62e-05,5.62e-05
145,136.267,0.78652,1.52394,1.52525,1.32133,0.93898,0.03704,0.0558,0.01857,0.01938,0.03704,0.00701,0.00198,3.07851,6.37798,3.41349,3.44503,4.96e-05,4.96e-05,4.96e-05
146,137.15,0.78612,1.71873,1.54483,1.26045,0.94051,0.03704,0.05435,0.01847,0.01073,0.03704,0.00658,0.00186,3.05513,6.38061,3.40093,3.43938,4.3e-05,4.3e-05,4.3e-05
147,138.032,0.85704,1.42636,1.66639,1.28459,0.94051,0.03704,0.05435,0.01847,0.01073,0.03704,0.00658,0.00186,3.05513,6.38061,3.40093,3.43938,3.64e-05,3.64e-05,3.64e-05
148,138.944,0.79386,1.29195,1.43573,1.17463,0.94279,0.03704,0.05504,0.01935,0.0067,0.03704,0.00706,0.00265,3.06678,6.38628,3.4255,3.42695,2.98e-05,2.98e-05,2.98e-05
149,139.776,0.64697,1.32803,1.41677,1.14984,0.94279,0.03704,0.05504,0.01935,0.0067,0.03704,0.00706,0.00265,3.06678,6.38628,3.4255,3.42695,2.32e-05,2.32e-05,2.32e-05
150,140.656,0.65313,1.78886,1.44622,1.14331,0.93016,0.03704,0.05451,0.01893,0.00661,0.07407,0.00702,0.00241,3.09151,6.41708,3.44036,3.41791,1.66e-05,1.66e-05,1.66e-05
