epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,27.5018,1.90619,3.28614,3.35065,1.97371,0.01346,0.30556,0.02144,0.00694,0.0086,0.14815,0.01641,0.00345,2.96322,6.6866,3.75853,3.20269,0.000464664,0.000464664,0.000464664
30,28.3528,1.64531,3.48066,2.88516,1.91901,0.01034,0.28148,0.01318,0.00459,0.00749,0.17778,0.01198,0.0022,3.00997,6.34616,3.90019,3.23726,0.000477074,0.000477074,0.000477074
31,29.1912,1.64432,2.84851,2.75903,1.83323,0.01034,0.28148,0.01318,0.00459,0.00749,0.17778,0.01198,0.0022,3.00997,6.34616,3.90019,3.23726,0.00048922,0.00048922,0.00048922
32,30.0575,1.63727,2.93155,2.89501,1.83113,0.01293,0.34815,0.0154,0.00265,0.00337,0.1037,0.00234,0.00087,3.10001,6.17486,3.988,3.31543,0.000501102,0.000501102,0.000501102
33,30.9083,1.52483,3.66114,2.91629,1.76109,0.00475,0.3037,0.00696,0.00142,0.00056,0.06667,0.00054,5e-05,3.24901,6.72389,4.04555,3.50206,0.00051272,0.00051272,0.00051272
34,31.7526,1.83575,2.999,3.14295,1.87601,0.00475,0.3037,0.00696,0.00142,0.00056,0.06667,0.00054,5e-05,3.24901,6.72389,4.04555,3.50206,0.000524074,0.000524074,0.000524074
35,32.635,1.47532,2.88736,2.81221,1.58884,0.00625,0.27407,0.00608,0.00106,0,0,0,0,3.33235,7.34776,4.03502,3.70964,0.000535164,0.000535164,0.000535164
36,33.5389,1.62133,2.78979,2.63506,1.73949,0.00465,0.14074,0.00349,0.00061,0,0,0,0,3.26574,7.59767,4.03288,3.7695,0.00054599,0.00054599,0.00054599
37,34.4038,1.52682,2.84666,2.51227,1.69759,0.00465,0.14074,0.00349,0.00061,0,0,0,0,3.26574,7.59767,4.03288,3.7695,0.000556552,0.000556552,0.000556552
38,35.3129,1.4841,2.84107,2.47023,1.63012,0.00748,0.24444,0.00636,0.00124,0.00204,0.03704,0.00125,0.00038,3.29159,8.05068,4.04042,3.82697,0.00056685,0.00056685,0.00056685
39,36.4454,1.77956,3.1873,2.69189,1.99613,0.00933,0.28148,0.00761,0.00166,0.00402,0.07407,0.00255,0.00077,3.35922,8.70357,4.05069,3.8981,0.000576884,0.000576884,0.000576884
40,37.2668,1.54196,3.04457,2.53558,1.71064,0.00933,0.28148,0.00761,0.00166,0.00402,0.07407,0.00255,0.00077,3.35922,8.70357,4.05069,3.8981,0.000586654,0.000586654,0.000586654
41,38.1014,1.39964,2.84122,2.21571,1.58071,0.00629,0.24444,0.00589,0.0016,0.00398,0.14074,0.00328,0.001,3.37706,9.31986,4.01687,4.10095,0.00059616,0.00059616,0.00059616
42,38.9762,1.61747,2.68292,2.61043,1.73529,0.00948,0.42222,0.01479,0.00317,0.00369,0.11111,0.0054,0.00134,3.52459,10.0105,3.79532,4.48443,0.000605402,0.000605402,0.000605402
43,39.7986,1.3743,3.04417,2.20678,1.58427,0.00948,0.42222,0.01479,0.00317,0.00369,0.11111,0.0054,0.00134,3.52459,10.0105,3.79532,4.48443,0.00061438,0.00061438,0.00061438
44,40.7154,1.31297,2.54279,2.17356,1.54535,0.00872,0.42222,0.0171,0.0036,0.00109,0.03704,0.00527,0.00158,3.54047,10.183,3.75343,4.53431,0.000623094,0.000623094,0.000623094
45,41.5335,1.73166,2.8853,2.61869,1.77633,0.00872,0.42222,0.0171,0.0036,0.00109,0.03704,0.00527,0.00158,3.54047,10.183,3.75343,4.53431,0.000631544,0.000631544,0.000631544
46,42.4328,1.43009,2.82326,2.41055,1.74998,0.37759,0.03704,0.03044,0.00773,0.38335,0.03704,0.00877,0.0025,3.36863,8.5304,3.66036,4.29749,0.00063973,0.00063973,0.00063973
47,43.2954,1.13257,2.5563,1.97177,1.48812,0.37759,0.03704,0.03044,0.00773,0.38335,0.03704,0.00877,0.0025,3.36863,8.5304,3.66036,4.29749,0.000647652,0.000647652,0.000647652
48,44.2002,1.79433,2.81114,2.72873,1.86198,0.44784,0.07407,0.05096,0.01458,0.74136,0.03704,0.01218,0.00248,3.0929,7.76911,3.49251,3.91863,0.00065531,0.00065531,0.00065531
